claim_area,public_surface,generating_source,config_or_var_key,artifact_or_sidecar,verification_gate,verdict,remediation
thm_4_1 (Theorem 5.1: Entanglement Decomposition),[[THMREF:thm_4_1]]; manuscript/refs/labels.yaml,lean/ActinfPolicyEntanglement/Decomposition.lean,manuscript/refs/labels.yaml::theorems::thm_4_1,lean/ActinfPolicyEntanglement/Decomposition.lean,tests/test_decomposition.py,boundary/typed-witness,MathlibProofs row-specific discharge or witness payload
cor_4_2 (Corollary 5.2: Coupling-pays-for-itself),[[THMREF:cor_4_2]]; manuscript/refs/labels.yaml,lean/ActinfPolicyEntanglement/Decomposition.lean,manuscript/refs/labels.yaml::theorems::cor_4_2,lean/ActinfPolicyEntanglement/Decomposition.lean,tests/test_decomposition.py,proved/substantive,none
cor_4_3 (Corollary 5.3: Mean-field at λ = 0),[[THMREF:cor_4_3]]; manuscript/refs/labels.yaml,lean/ActinfPolicyEntanglement/Decomposition.lean,manuscript/refs/labels.yaml::theorems::cor_4_3,lean/ActinfPolicyEntanglement/Decomposition.lean,tests/test_coupling.py,proved/substantive,none
cor_4_4 (Corollary 5.4: Strict gain when q is non-mean-field),[[THMREF:cor_4_4]]; manuscript/refs/labels.yaml,lean/ActinfPolicyEntanglement/Decomposition.lean,manuscript/refs/labels.yaml::theorems::cor_4_4,lean/ActinfPolicyEntanglement/Decomposition.lean,tests/test_free_energy.py,boundary/typed-witness,MathlibProofs row-specific discharge or witness payload
thm_4_2 (Theorem 5.5: Existence of optimal coupling),[[THMREF:thm_4_2]]; manuscript/refs/labels.yaml,lean/ActinfPolicyEntanglement/Decomposition.lean,manuscript/refs/labels.yaml::theorems::thm_4_2,lean/ActinfPolicyEntanglement/Decomposition.lean,tests/test_decomposition.py,boundary/typed-witness,MathlibProofs row-specific discharge or witness payload
thm_4_3 (Theorem 5.6: Convexity of F in λ),[[THMREF:thm_4_3]]; manuscript/refs/labels.yaml,lean/ActinfPolicyEntanglement/Convexity.lean,manuscript/refs/labels.yaml::theorems::thm_4_3,lean/ActinfPolicyEntanglement/Convexity.lean,tests/test_witness_theorems.py,witness/typed-witness,MathlibProofs row-specific discharge or witness payload
prop_6_1 (Proposition 7.1: MF submanifold is e-flat),[[THMREF:prop_6_1]]; manuscript/refs/labels.yaml,lean/ActinfPolicyEntanglement/Geometry.lean,manuscript/refs/labels.yaml::theorems::prop_6_1,lean/ActinfPolicyEntanglement/Geometry.lean,tests/test_geometry.py,proved/statement-restricted,none
prop_6_2 (Proposition 7.2: m-projection / marginalization),[[THMREF:prop_6_2]]; manuscript/refs/labels.yaml,lean/ActinfPolicyEntanglement/Geometry.lean,manuscript/refs/labels.yaml::theorems::prop_6_2,lean/ActinfPolicyEntanglement/Geometry.lean,tests/test_geometry.py,proved/statement-restricted,none
prop_6_3 (Proposition 7.3: Total correlation as Bregman divergence),[[THMREF:prop_6_3]]; manuscript/refs/labels.yaml,lean/ActinfPolicyEntanglement/FreeEnergy.lean,manuscript/refs/labels.yaml::theorems::prop_6_3,lean/ActinfPolicyEntanglement/FreeEnergy.lean,tests/test_free_energy.py,witness/typed-witness,MathlibProofs row-specific discharge or witness payload
thm_6_4 (Theorem 7.4: λ-family is an e-geodesic),[[THMREF:thm_6_4]]; manuscript/refs/labels.yaml,lean/ActinfPolicyEntanglement/Geometry.lean,manuscript/refs/labels.yaml::theorems::thm_6_4,lean/ActinfPolicyEntanglement/Geometry.lean,tests/test_coupling.py,forwarder/forwarder,none
